iter	Passed	Remaining
0	160	80331
1	179	44583
2	201	33463
3	223	27736
4	245	24330
5	269	22158
6	291	20543
7	313	19261
8	335	18278
9	356	17462
10	378	16818
11	399	16265
12	421	15775
13	442	15366
14	465	15039
15	485	14701
16	508	14434
17	529	14177
18	550	13948
19	572	13749
20	594	13558
21	615	13381
22	637	13215
23	658	13064
24	680	12931
25	702	12803
26	724	12685
27	745	12564
28	767	12457
29	788	12355
30	810	12264
31	832	12168
32	853	12080
33	875	12001
34	901	11976
35	922	11889
36	945	11834
37	967	11768
38	992	11736
39	1015	11681
40	1038	11622
41	1056	11517
42	1078	11456
43	1100	11400
44	1122	11348
45	1144	11294
46	1166	11245
47	1188	11189
48	1210	11143
49	1231	11087
50	1253	11036
51	1276	10998
52	1299	10956
53	1320	10906
54	1342	10863
55	1364	10814
56	1385	10770
57	1407	10728
58	1429	10681
59	1450	10637
60	1472	10594
61	1493	10553
62	1515	10515
63	1537	10471
64	1558	10432
65	1579	10389
66	1601	10349
67	1622	10308
68	1644	10270
69	1666	10235
70	1687	10197
71	1708	10157
72	1730	10123
73	1752	10086
74	1774	10055
75	1796	10022
76	1817	9984
77	1838	9947
78	1860	9914
79	1882	9880
80	1904	9852
81	1926	9821
82	1948	9788
83	1969	9754
84	1991	9722
85	2012	9688
86	2034	9656
87	2055	9623
88	2077	9593
89	2098	9561
90	2120	9531
91	2141	9498
92	2164	9472
93	2185	9439
94	2207	9408
95	2228	9376
96	2249	9343
97	2271	9317
98	2293	9291
99	2315	9262
100	2337	9233
101	2359	9205
102	2381	9177
103	2402	9147
104	2424	9119
105	2446	9092
106	2467	9064
107	2489	9036
108	2511	9010
109	2533	8982
110	2558	8964
111	2578	8934
112	2600	8905
113	2621	8876
114	2643	8849
115	2664	8821
116	2686	8794
117	2707	8764
118	2728	8736
119	2749	8707
120	2770	8679
121	2792	8652
122	2814	8625
123	2835	8596
124	2856	8570
125	2881	8553
126	2909	8544
127	2935	8531
128	2961	8516
129	2987	8501
130	3012	8486
131	3037	8466
132	3061	8447
133	3083	8421
134	3105	8395
135	3116	8341
136	3138	8315
137	3159	8287
138	3181	8261
139	3203	8236
140	3224	8210
141	3245	8183
142	3268	8158
143	3289	8133
144	3311	8107
145	3332	8080
146	3353	8053
147	3375	8027
148	3399	8008
149	3420	7981
150	3441	7954
151	3463	7928
152	3484	7903
153	3506	7877
154	3527	7851
155	3548	7824
156	3569	7798
157	3591	7773
158	3612	7747
159	3633	7721
160	3654	7695
161	3675	7668
162	3696	7643
163	3718	7618
164	3740	7594
165	3761	7567
166	3782	7542
167	3804	7518
168	3825	7492
169	3846	7466
170	3867	7441
171	3889	7416
172	3911	7394
173	3932	7368
174	3954	7344
175	3977	7321
176	3998	7296
177	4019	7271
178	4040	7246
179	4061	7221
180	4083	7196
181	4104	7171
182	4125	7147
183	4147	7123
184	4171	7103
185	4199	7089
186	4227	7076
187	4254	7060
188	4279	7041
189	4302	7019
190	4324	6996
191	4345	6970
192	4367	6947
193	4388	6922
194	4400	6883
195	4421	6858
196	4444	6836
197	4465	6811
198	4488	6788
199	4551	6827
200	4614	6864
201	4677	6900
202	4744	6941
203	4849	7036
204	4901	7053
205	5045	7201
206	5178	7329
207	5269	7398
208	5353	7453
209	5392	7447
210	5425	7430
211	5456	7412
212	5486	7392
213	5517	7374
214	5546	7352
215	5571	7325
216	5596	7298
217	5622	7273
218	5648	7247
219	5699	7253
220	5730	7234
221	5756	7209
222	5782	7182
223	5808	7156
224	5834	7131
225	5859	7104
226	5883	7076
227	5906	7046
228	5929	7017
